PA,Pará
PA,Pará,Belém
PA,Pará,Belém,Cidade Nova viii
PA,Pará,Belém,Cidade Velha
PA,Pará,Belém,Cohab Anil I
PA,Pará,Belém,Comercial
PA,Pará,Belém,Comércio
PA,Pará,Belém,Condor
PA,Pará,Belém,Congos
PA,Pará,Belém,Conj. Cidade Nova II
PA,Pará,Belém,Conjunto Cohab Gleba 1
PA,Pará,Belém,Conjunto Orlando Lobato
PA,Pará,Belém,Coqueiro
PA,Pará,Belém,Coqueiro Ananindeua
PA,Pará,Belém,Coqueiros
PA,Pará,Belém,Cordeiro Farias
PA,Pará,Belém,Cremação
PA,Pará,Belém,Cristo Redentor
PA,Pará,Belém,Cruzeiro
PA,Pará,Belém,Cruzeiro (Icoaraci)
PA,Pará,Belém,Cruzeiro Icoaraci
PA,Pará,Belém,Cruzeiro(Icoaraci)
PA,Pará,Belém,Curió
PA,Pará,Belém,Curió Utinga
PA,Pará,Belém,Curiotinga
PA,Pará,Belém,Curucamba
PA,Pará,Belém,Decouville
PA,Pará,Belém,Decoville
PA,Pará,Belém,Distrito de Murucupi
PA,Pará,Belém,Distrito Industrial
PA,Pará,Belém,Dom Aristides
PA,Pará,Belém,Educandos
PA,Pará,Belém,Entroncamento
PA,Pará,Belém,Estrela
PA,Pará,Belém,Fama Outeiro
PA,Pará,Belém,Farol (Mosqueiro)
PA,Pará,Belém,Fátima
PA,Pará,Belém,Fernando Correa
PA,Pará,Belém,Francisquinho
PA,Pará,Belém,Gama
PA,Pará,Belém,Guajará i
PA,Pará,Belém,Guajará ii
PA,Pará,Belém,Guama
PA,Pará,Belém,Guamar
PA,Pará,Belém,Guanabara
PA,Pará,Belém,Havaí
PA,Pará,Belém,Ianetama
PA,Pará,Belém,Icoaraci
PA,Pará,Belém,Icoraci
PA,Pará,Belém,Icui Guajará
PA,Pará,Belém,Icuí Guarajá
PA,Pará,Belém,Icui Laranjeiro
PA,Pará,Belém,Independente II
PA,Pará,Belém,Irajá
PA,Pará,Belém,Jaderlândia
PA,Pará,Belém,Jaderlândia i
PA,Pará,Belém,Japão
PA,Pará,Belém,Jardim Estados
PA,Pará,Belém,Jardim Felicidade
PA,Pará,Belém,Jardim Primavera
PA,Pará,Belém,Jardim Providência
PA,Pará,Belém,Jardim Sideral
PA,Pará,Belém,Julia Seffer
PA,Pará,Belém,Julião Ramos
PA,Pará,Belém,Jurunas
PA,Pará,Belém,Levilândia
PA,Pará,Belém,Maguari
PA,Pará,Belém,Mangueirão
PA,Pará,Belém,Marabaia
PA,Pará,Belém,Maracacuera-Icoaraci
PA,Pará,Belém,Maracangalha
PA,Pará,Belém,Maracuera
PA,Pará,Belém,Marambaia
PA,Pará,Belém,Marco
PA,Pará,Belém,Marituba
PA,Pará,Belém,Marizal
PA,Pará,Belém,Mecejana
PA,Pará,Belém,Miramar
PA,Pará,Belém,Mirizal
PA,Pará,Belém,Montese
PA,Pará,Belém,Montesi
PA,Pará,Belém,Mosqueiro
PA,Pará,Belém,Nazaré
PA,Pará,Belém,Nazeré
PA,Pará,Belém,Nova Decouville
PA,Pará,Belém,Nova Esperança
PA,Pará,Belém,Nova Marabá
PA,Pará,Belém,Nova Marambaia
PA,Pará,Belém,Nova Olinda
PA,Pará,Belém,Nova República
PA,Pará,Belém,Novo Mtub
PA,Pará,Belém,Núcleo Urbano
PA,Pará,Belém,Outeiro
PA,Pará,Belém,Paar
PA,Pará,Belém,Pacacurí 
PA,Pará,Belém,Paracurí
PA,Pará,Belém,Paracuri (Icoaraci)
PA,Pará,Belém,Paracuri (Icoroaci)
PA,Pará,Belém,Paracurí I
PA,Pará,Belém,Paracurú I
PA,Pará,Belém,Paraíso Passáros
PA,Pará,Belém,Parque Guajará
PA,Pará,Belém,Parque Guajará (Icoaraci)
PA,Pará,Belém,Parque Guajará (Icoaraci)
PA,Pará,Belém,Pass São Jorge
PA,Pará,Belém,Pato Macho
PA,Pará,Belém,Paz
PA,Pará,Belém,Pedreira
PA,Pará,Belém,Pedreiras
PA,Pará,Belém,Ponta D' agulha
PA,Pará,Belém,Ponta Grossa
PA,Pará,Belém,Ponta Grossa (Icoaraci)
PA,Pará,Belém,Ponta Grossa Icoaraci
PA,Pará,Belém,Pq Guajará Icoaraci
PA,Pará,Belém,Pq Imperial
PA,Pará,Belém,Pq Palmeiras
PA,Pará,Belém,Pq Verde
PA,Pará,Belém,Praia do Bispo
PA,Pará,Belém,Pratinha
PA,Pará,Belém,Pratinha (Icoaraci)
PA,Pará,Belém,Pratinha (Icoaraci)
PA,Pará,Belém,Pratinha ii
PA,Pará,Belém,Reduto
PA,Pará,Belém,Roraima Amapá i
PA,Pará,Belém,Roraima Amapá ii
PA,Pará,Belém,Sacramenta
PA,Pará,Belém,Sacranebta
PA,Pará,Belém,Salgadinho
PA,Pará,Belém,Salinópolis
PA,Pará,Belém,Santa Clara
PA,Pará,Belém,Santa Cruz
PA,Pará,Belém,Santa Lucia i
PA,Pará,Belém,Santa Rita
PA,Pará,Belém,Santana Aura
PA,Pará,Belém,Santarenzinho
PA,Pará,Belém,São Brás
PA,Pará,Belém,São Clemente
PA,Pará,Belém,São Francisco
PA,Pará,Belém,São João
PA,Pará,Belém,São João do Outeiro (Oute
PA,Pará,Belém,São João do Outeiro (Outeiro)
PA,Pará,Belém,São João Outeiro
PA,Pará,Belém,São José
PA,Pará,Belém,São Pedro
PA,Pará,Belém,Sem Bairro
PA,Pará,Belém,Sepetiba
PA,Pará,Belém,Souza
PA,Pará,Belém,Stelio Maroja
PA,Pará,Belém,Tapajós
PA,Pará,Belém,Tapana
PA,Pará,Belém,Tapanã (Icoaraci)
PA,Pará,Belém,Tapanã (Icoaraci)
PA,Pará,Belém,Telégrafo
PA,Pará,Belém,Telégrafos
PA,Pará,Belém,Tenone
PA,Pará,Belém,Tereza D'ávila
PA,Pará,Belém,Terra Firme
PA,Pará,Belém,Terra Santa
PA,Pará,Belém,Umarizal
PA,Pará,Belém,Umarizol
PA,Pará,Belém,Umaziral
PA,Pará,Belém,Una
PA,Pará,Belém,Universitário
PA,Pará,Belém,Uruará
PA,Pará,Belém,Val-de-cans
PA,Pará,Belém,Vila
PA,Pará,Belém,Vila (Mosqueiro)
PA,Pará,Belém,Vila (Mosqueiro)
PA,Pará,Belém,Vila Itupanema
PA,Pará,Belém,Vl Aibi Miranda - Guama
PA,Pará,Belém,Yamada
PA,Pará,Abaetetuba
PA,Pará,Abaetetuba,Águas Lindas
PA,Pará,Abaetetuba,Algodoal
PA,Pará,Abaetetuba,Angelica
PA,Pará,Abaetetuba,Aviacao
PA,Pará,Abaetetuba,Centro
PA,Pará,Abaetetuba,Cristo Redentor
PA,Pará,Abaetetuba,Francilandia
PA,Pará,Abaetetuba,Mutirao
PA,Pará,Abaetetuba,Santa Rosa
PA,Pará,Abaetetuba,Sao Joao
PA,Pará,Abaetetuba,Sao Jose
PA,Pará,Abaetetuba,Sao Lourenco
PA,Pará,Abaetetuba,Sao Sebastiao
PA,Pará,Abaetetuba,Sem Bairro
PA,Pará,Abel Figueiredo
PA,Pará,Abel Figueiredo,Bela Vista
PA,Pará,Abel Figueiredo,Centro
PA,Pará,Abel Figueiredo,Goiabeira
PA,Pará,Abel Figueiredo,Novo Horizonte
PA,Pará,Acaiaca
PA,Pará,Acaiaca,Centro
PA,Pará,Açaiteua
PA,Pará,Açaiteua,Centro
PA,Pará,Açaiteua - Capitão Poço
PA,Pará,Acará
PA,Pará,Acará,Alegria
PA,Pará,Acará,Cacoal
PA,Pará,Acará,Centro
PA,Pará,Acará,Cidade Nova
PA,Pará,Acará,Interior
PA,Pará,Acará,Pantanal
PA,Pará,Acará,Sao Judas Tadeu
PA,Pará,Acará,Tutuba
PA,Pará,Afuá
PA,Pará,Afuá,Capim Marim
PA,Pará,Afuá,Central
PA,Pará,Agrovila do Km 190
PA,Pará,Agrovila do Km 190,Central
PA,Pará,Agrovila Mata Geral
PA,Pará,Agrovila Mata Geral,Mata Geral
PA,Pará,Agrovila Monte Sinai do Km 201
PA,Pará,Agrovila Monte Sinai do Km 201,Centro
PA,Pará,Agrovila Nazaré
PA,Pará,Agrovila Nazaré,Centro
PA,Pará,Agrovila Novo Horizonte
PA,Pará,Agrovila Novo Horizonte,Centro
PA,Pará,Agrovila Progresso do Km 140
PA,Pará,Agrovila Progresso do Km 140,Central
PA,Pará,Água Azul do Norte
PA,Pará,Água Azul do Norte,Água Azul do Norte
PA,Pará,Água Branca - Tomé-Açú
PA,Pará,Água Branca - Tomé-Açú,Centro
PA,Pará,Água Branca - Ulianópolis
PA,Pará,Água Branca - Ulianópolis,Água Branca
PA,Pará,Alacilândia
PA,Pará,Alacilândia,Centro
PA,Pará,Aldeia Mapuera
PA,Pará,Alenquer
PA,Pará,Alenquer,Aeroporto
PA,Pará,Alenquer,Alenquer
PA,Pará,Alenquer,Aningal
PA,Pará,Alenquer,b Vista
PA,Pará,Alenquer,Bela Vista
PA,Pará,Alenquer,Centro
PA,Pará,Alenquer,Esperança
PA,Pará,Alenquer,Liberdade
PA,Pará,Alenquer,Luanda
PA,Pará,Alenquer,Nova Esperanca
PA,Pará,Alenquer,Planalto
PA,Pará,Alenquer,Sao Cristovao
PA,Pará,Alenquer,Sao Francisco
PA,Pará,Algodoal
PA,Pará,Algodoal,Centro
PA,Pará,Almeirim
PA,Pará,Almeirim,Aeroporto
PA,Pará,Almeirim,Buritizal
PA,Pará,Almeirim,Centro
PA,Pará,Almeirim,Comercial
PA,Pará,Almeirim,Lotm Martolandia
PA,Pará,Almeirim,Lotm Sao Gabriel
PA,Pará,Almeirim,Matinha
PA,Pará,Almeirim,Nova Vida
PA,Pará,Almeirim,Palhal
PA,Pará,Altamira
PA,Pará,Altamira,Açaizal
PA,Pará,Altamira,Aparecida
PA,Pará,Altamira,Baixao Tufi
PA,Pará,Altamira,Batista Campos
PA,Pará,Altamira,Bela Vista
PA,Pará,Altamira,Boa Esperanca
PA,Pará,Altamira,Brasilia
PA,Pará,Altamira,Capuava II
PA,Pará,Altamira,Caranazal
PA,Pará,Altamira,Catedral
PA,Pará,Altamira,Centro
PA,Pará,Altamira,Colinas
PA,Pará,Altamira,Cooperfron
PA,Pará,Altamira,Cremação
PA,Pará,Altamira,Dner
PA,Pará,Altamira,Esplanada Do Xingu
PA,Pará,Altamira,Igarapé Altamira
PA,Pará,Altamira,Independente
PA,Pará,Altamira,Independente I
PA,Pará,Altamira,Independente II
PA,Pará,Altamira,Industrial
PA,Pará,Altamira,Interior
PA,Pará,Altamira,Jardim Altamira
PA,Pará,Altamira,Jardim Copacabana
PA,Pará,Altamira,Jardim Esplanada Do Xingu
PA,Pará,Altamira,Jardim Esplanada Xin
PA,Pará,Altamira,Jardim Estados
PA,Pará,Altamira,Jardim Independente i
PA,Pará,Altamira,Jardim Lindo Altamir
PA,Pará,Altamira,Jardim Novo Altamira
PA,Pará,Altamira,Jardim Oriente
PA,Pará,Altamira,Jardim Primavera
PA,Pará,Altamira,Jardim Sol
PA,Pará,Altamira,Jd Independente II
PA,Pará,Altamira,Jd Independente III
PA,Pará,Altamira,Jurunas
PA,Pará,Altamira,Liberdade
PA,Pará,Altamira,Mangueirão
PA,Pará,Altamira,Multirão
PA,Pará,Altamira,Mutirão
PA,Pará,Altamira,Pds
PA,Pará,Altamira,Perpetuo Socorro
PA,Pará,Altamira,Premem
PA,Pará,Altamira,Recreio
PA,Pará,Altamira,São Braz
PA,Pará,Altamira,Sao Sebastiao
PA,Pará,Altamira,Sudam i
PA,Pará,Altamira,Sudam ii
PA,Pará,Altamira,Uirapuru
PA,Pará,Altamira,Uruará
PA,Pará,Alter do Chão
PA,Pará,Alter do Chão,Alter do Chão
PA,Pará,Alter do Chão,Centro
PA,Pará,Alto Bonito
PA,Pará,Alto Bonito,Centro
PA,Pará,Alto Pereru
PA,Pará,Alto Pereru,Centro
PA,Pará,Alto Pindorama
PA,Pará,Alto Pindorama,Alto Pindorama
PA,Pará,Alto Pindorama,Centro
PA,Pará,Alvorada da Amazônia
PA,Pará,Alvorada da Amazônia,Alvorada
PA,Pará,Alvorada da Amazônia,Central
PA,Pará,Amapá
PA,Pará,Americano
PA,Pará,Americano,Americano
PA,Pará,Americano,Centro
PA,Pará,Americano,Interior
PA,Pará,Anajás
PA,Pará,Anajás,Acaizal
PA,Pará,Anajás,Centro
PA,Pará,Anajás,Cidade Nova
PA,Pará,Anajás,Escolandia
PA,Pará,Anajás,Prainha
PA,Pará,Ananim
PA,Pará,Ananim,Centro
PA,Pará,Ananindeua
PA,Pará,Ananindeua,40 Horas
PA,Pará,Ananindeua,Água Lindas
PA,Pará,Ananindeua,Aguas Brancas
PA,Pará,Ananindeua,Águas Lindas
PA,Pará,Ananindeua,Agulha
PA,Pará,Ananindeua,Ananindeua
PA,Pará,Ananindeua,Atalaia
PA,Pará,Ananindeua,Campina
PA,Pará,Ananindeua,Canudos
PA,Pará,Ananindeua,Castanheira
PA,Pará,Ananindeua,Centro
PA,Pará,Ananindeua,Cidade Nova
PA,Pará,Ananindeua,Cidade Nova 8
PA,Pará,Ananindeua,Cidade Nova vi
PA,Pará,Ananindeua,Cidade Nova VII
PA,Pará,Ananindeua,Cj Júlia Seffer
PA,Pará,Ananindeua,Coaqueiro
PA,Pará,Ananindeua,Coqueiro
PA,Pará,Ananindeua,Coqueiros
PA,Pará,Ananindeua,Correios
PA,Pará,Ananindeua,Cruzeiro
PA,Pará,Ananindeua,Curió-Utinga
PA,Pará,Ananindeua,Dist. Industrial
PA,Pará,Ananindeua,Distrito
PA,Pará,Ananindeua,Distrito Industrial
PA,Pará,Ananindeua,Guanabara
PA,Pará,Ananindeua,Icui Guajará
PA,Pará,Ananindeua,Icui Laranjeiras
PA,Pará,Ananindeua,Levilandia
PA,Pará,Ananindeua,Maguari
PA,Pará,Ananindeua,Mangueirão
PA,Pará,Ananindeua,Maracacuera (Icoaraci)
PA,Pará,Ananindeua,Marambaia
PA,Pará,Ananindeua,Marco
PA,Pará,Ananindeua,Nazaré
PA,Pará,Ananindeua,Parauapebas
PA,Pará,Ananindeua,Pato Macho
PA,Pará,Ananindeua,Quarenta Horas (Coqueiro)
PA,Pará,Ananindeua,Quarenta Horas (Coqueiro)
PA,Pará,Ananindeua,São João do Outeiro (Outeiro)
PA,Pará,Ananindeua,Sem Bairro
PA,Pará,Ananindeua,Val de Cans
PA,Pará,Ananindeua,Vale dos Cães
PA,Pará,Anapú
PA,Pará,Anapú,Brasil Novo
PA,Pará,Anapú,Centro
PA,Pará,Anapú,Cibrazem
PA,Pará,Anapú,Novo Panorama
PA,Pará,Anapú,Novo Progresso
PA,Pará,Angelim Km 50
PA,Pará,Aparecida
PA,Pará,Apeú
PA,Pará,Apeú,Americano
PA,Pará,Apeú,Betania
PA,Pará,Apeú,Centro
PA,Pará,Apeú,Interior
PA,Pará,Apeú,Titanlandia
PA,Pará,Apeú,Triângulo
PA,Pará,Apinagés
PA,Pará,Apinagés,Apinajes
PA,Pará,Apinagés,Centro
PA,Pará,Apolinário
PA,Pará,Apolinário,Apolinário
PA,Pará,Araci
PA,Pará,Araci,Centro
PA,Pará,Arai
PA,Pará,Arai,Centro
PA,Pará,Aramanai
PA,Pará,Aramanai,Aramanai
PA,Pará,Arapari
PA,Pará,Arapari,Centro
PA,Pará,Arapixi
PA,Pará,Arapixuna
PA,Pará,Arapixuna,Arapixuna
PA,Pará,Arapixuna,Centro
PA,Pará,Araquaim
PA,Pará,Araquaim,Centro
PA,Pará,Araticumirim
PA,Pará,Araticumirim,Centro
PA,Pará,Arauai
PA,Pará,Arauai,Arauai
PA,Pará,Arauai,Centro
PA,Pará,Arco Íris
PA,Pará,Arco Íris,Arco Íris
PA,Pará,Areão
PA,Pará,Areão,Centro
PA,Pará,Ariri
PA,Pará,Ariri,Centro
PA,Pará,Arraial do Caeté
PA,Pará,Arraial do Caeté,Arraial do Caeté
PA,Pará,Arraial do Caeté,Centro
PA,Pará,Assentamento Primavera
PA,Pará,Assentamento Primeiro de Março
PA,Pará,Assentamento Primeiro de Março,Centro
PA,Pará,Atalaia
PA,Pará,Atalaia,Atalaia
PA,Pará,Atalaia,Conjunto Manauense
PA,Pará,Atalaia,Farol Velho
PA,Pará,Aturiai
PA,Pará,Aturiai,Centro
PA,Pará,Aturiai,Vila Aturiai
PA,Pará,Augusto Corrêa
PA,Pará,Augusto Corrêa,Augusto Correa
PA,Pará,Augusto Corrêa,Centro
PA,Pará,Augusto Corrêa,Cidade Nova
PA,Pará,Augusto Corrêa,Espirito Santo
PA,Pará,Augusto Corrêa,Lírio Dos Vales
PA,Pará,Augusto Corrêa,Nazaré
PA,Pará,Augusto Corrêa,Santa Ana
PA,Pará,Augusto Corrêa,Santa Cruz
PA,Pará,Augusto Corrêa,Sao Benedito
PA,Pará,Augusto Corrêa,Sao Miguel
PA,Pará,Aurélio do Carmo
PA,Pará,Aurélio do Carmo,Centro
PA,Pará,Aurora do Pará
PA,Pará,Aurora do Pará,Aurora Para
PA,Pará,Aurora do Pará,Centro
PA,Pará,Aveiro
PA,Pará,Aveiro,Aveiro
PA,Pará,Aveiro,Centro
PA,Pará,Bacaba
PA,Pará,Bacabalzinho
PA,Pará,Bacabeira
PA,Pará,Bacabeira,Centro
PA,Pará,Bacuriteua
PA,Pará,Bacuriteua,Centro
PA,Pará,Bagre
PA,Pará,Bagre,Centro
PA,Pará,Baía do Sol
PA,Pará,Baía do Sol,Ariramba
PA,Pará,Baía do Sol,Baia Sol
PA,Pará,Baía do Sol,Ipixuna
PA,Pará,Baião
PA,Pará,Baião,Brasilia
PA,Pará,Baião,Centro
PA,Pará,Baião,Cidade Nova
PA,Pará,Baião,Comércio
PA,Pará,Baião,Limao
PA,Pará,Baião,Maracana
PA,Pará,Baião,Mutirao
PA,Pará,Baião,Sao Francisco
PA,Pará,Bannach
PA,Pará,Bannach,Centro
PA,Pará,Barcarena
PA,Pará,Barcarena,Betania
PA,Pará,Barcarena,Centro
PA,Pará,Barcarena,Comercial
PA,Pará,Barcarena,Interior
PA,Pará,Barcarena,Nazaré
PA,Pará,Barcarena,Novo
PA,Pará,Barcarena,Novo ii
PA,Pará,Barcarena,Núcleo Urbano
PA,Pará,Barcarena,Pedreira
PA,Pará,Barcarena,Vila dos Cabanos
PA,Pará,Barreira dos Campos
PA,Pará,Barreira dos Campos,Centro
PA,Pará,Barreiras
PA,Pará,Barreiras,Barreiras
PA,Pará,Barreiras,Centro
PA,Pará,Barreiras - Almeirim
PA,Pará,Basília
PA,Pará,Basília,Centro
PA,Pará,Beja
PA,Pará,Beja,Centro
PA,Pará,Bela Vista
PA,Pará,Bela Vista,Centro
PA,Pará,Bela Vista - Placas
PA,Pará,Bela Vista do Caracol
PA,Pará,Bela Vista do Caracol,Central
PA,Pará,Bela Vista do Caracol,Marco
PA,Pará,Belém
PA,Pará,Belém,40 Horas
PA,Pará,Belém,Abelardo Conduru
PA,Pará,Belém,Aerolândia
PA,Pará,Belém,Aeroporto
PA,Pará,Belém,Água Boa Outeiro
PA,Pará,Belém,Águas Brancas
PA,Pará,Belém,Águas Claras
PA,Pará,Belém,Águas Lindas
PA,Pará,Belém,Agulha
PA,Pará,Belém,Agulha (Icoaraci)
PA,Pará,Belém,Agulha(Icoaraci)
PA,Pará,Belém,Agulha(Icoaraci)
PA,Pará,Belém,Ananindeua
PA,Pará,Belém,Angola
PA,Pará,Belém,Ariri
PA,Pará,Belém,Ariri Bolonha
PA,Pará,Belém,Atalaia
PA,Pará,Belém,Aura
PA,Pará,Belém,B Campos
PA,Pará,Belém,Barreiro
PA,Pará,Belém,Batista Campo
PA,Pará,Belém,Batista Campos
PA,Pará,Belém,Batista Campus
PA,Pará,Belém,Batistas
PA,Pará,Belém,Beira Mar
PA,Pará,Belém,Beira Rio
PA,Pará,Belém,Bela Vista
PA,Pará,Belém,Belém
PA,Pará,Belém,Bengui
PA,Pará,Belém,Boa Vista
PA,Pará,Belém,Boa Vista Mtub
PA,Pará,Belém,Bonfim
PA,Pará,Belém,Brasília Outeiro
PA,Pará,Belém,Cabanagem
PA,Pará,Belém,Cais do Porto
PA,Pará,Belém,Campina
PA,Pará,Belém,Campina de Icoaraci (Icoa
PA,Pará,Belém,Campina de Icoaraci (Icoaraci)
PA,Pará,Belém,Campina Icoaraci
PA,Pará,Belém,Campinas
PA,Pará,Belém,Canudos
PA,Pará,Belém,Carneirinho
PA,Pará,Belém,Castanheira
PA,Pará,Belém,Castanheiras
PA,Pará,Belém,Catalina
PA,Pará,Belém,Cecon
PA,Pará,Belém,Cecon Mtub
PA,Pará,Belém,Centro
PA,Pará,Belém,Chapéu Virado
PA,Pará,Belém,Che Guevara
PA,Pará,Belém,Cidade Jardim
PA,Pará,Belém,Cidade Nova
PA,Pará,Belém,Cidade Nova i
PA,Pará,Belém,Cidade Nova ii
PA,Pará,Belém,Cidade Nova iii
PA,Pará,Belém,Cidade Nova iv
PA,Pará,Belém,Cidade Nova Ix
PA,Pará,Belém,Cidade Nova v
PA,Pará,Belém,Cidade Nova vi
PA,Pará,Belém,Cidade Nova vii
PA,Pará,Belém,Cidade Nova viii
PA,Pará,Belém,Cidade Velha
PA,Pará,Belém,Cohab Anil I
PA,Pará,Belém,Comercial
PA,Pará,Belém,Comércio
PA,Pará,Belém,Condor
PA,Pará,Belém,Congos
PA,Pará,Belém,Conj. Cidade Nova II
PA,Pará,Belém,Conjunto Cohab Gleba 1
PA,Pará,Belém,Conjunto Orlando Lobato
PA,Pará,Belém,Coqueiro
PA,Pará,Belém,Coqueiro Ananindeua
PA,Pará,Belém,Coqueiros
PA,Pará,Belém,Cordeiro Farias
PA,Pará,Belém,Cremação
PA,Pará,Belém,Cristo Redentor
PA,Pará,Belém,Cruzeiro
PA,Pará,Belém,Cruzeiro (Icoaraci)
PA,Pará,Belém,Cruzeiro Icoaraci
PA,Pará,Belém,Cruzeiro(Icoaraci)
PA,Pará,Belém,Curió
PA,Pará,Belém,Curió Utinga
PA,Pará,Belém,Curiotinga
PA,Pará,Belém,Curucamba
PA,Pará,Belém,Decouville
PA,Pará,Belém,Decoville
PA,Pará,Belém,Distrito de Murucupi
PA,Pará,Belém,Distrito Industrial
PA,Pará,Belém,Dom Aristides
PA,Pará,Belém,Educandos
PA,Pará,Belém,Entroncamento
PA,Pará,Belém,Estrela
PA,Pará,Belém,Fama Outeiro
PA,Pará,Belém,Farol (Mosqueiro)
PA,Pará,Belém,Fátima
PA,Pará,Belém,Fernando Correa
PA,Pará,Belém,Francisquinho
PA,Pará,Belém,Gama
PA,Pará,Belém,Guajará i
PA,Pará,Belém,Guajará ii
PA,Pará,Belém,Guama
PA,Pará,Belém,Guamar
PA,Pará,Belém,Guanabara
PA,Pará,Belém,Havaí
PA,Pará,Belém,Ianetama
PA,Pará,Belém,Icoaraci
PA,Pará,Belém,Icoraci
PA,Pará,Belém,Icui Guajará
PA,Pará,Belém,Icuí Guarajá
PA,Pará,Belém,Icui Laranjeiro
PA,Pará,Belém,Independente II
PA,Pará,Belém,Irajá
PA,Pará,Belém,Jaderlândia
PA,Pará,Belém,Jaderlândia i
PA,Pará,Belém,Japão
PA,Pará,Belém,Jardim Estados
PA,Pará,Belém,Jardim Felicidade
PA,Pará,Belém,Jardim Primavera
PA,Pará,Belém,Jardim Providência
PA,Pará,Belém,Jardim Sideral
PA,Pará,Belém,Julia Seffer
PA,Pará,Belém,Julião Ramos
PA,Pará,Belém,Jurunas
PA,Pará,Belém,Levilândia
PA,Pará,Belém,Maguari
PA,Pará,Belém,Mangueirão
PA,Pará,Belém,Marabaia
PA,Pará,Belém,Maracacuera-Icoaraci
PA,Pará,Belém,Maracangalha
PA,Pará,Belém,Maracuera
PA,Pará,Belém,Marambaia
PA,Pará,Belém,Marco
PA,Pará,Belém,Marituba
PA,Pará,Belém,Marizal
PA,Pará,Belém,Mecejana
PA,Pará,Belém,Miramar
PA,Pará,Belém,Mirizal
PA,Pará,Belém,Montese
PA,Pará,Belém,Montesi
PA,Pará,Belém,Mosqueiro
PA,Pará,Belém,Nazaré
PA,Pará,Belém,Nazeré
PA,Pará,Belém,Nova Decouville
PA,Pará,Belém,Nova Esperança
PA,Pará,Belém,Nova Marabá
PA,Pará,Belém,Nova Marambaia
PA,Pará,Belém,Nova Olinda
PA,Pará,Belém,Nova República
PA,Pará,Belém,Novo Mtub
PA,Pará,Belém,Núcleo Urbano
PA,Pará,Belém,Outeiro
PA,Pará,Belém,Paar
PA,Pará,Belém,Pacacurí 
PA,Pará,Belém,Paracurí
PA,Pará,Belém,Paracuri (Icoaraci)
PA,Pará,Belém,Paracuri (Icoroaci)
PA,Pará,Belém,Paracurí I
PA,Pará,Belém,Paracurú I
PA,Pará,Belém,Paraíso Passáros
PA,Pará,Belém,Parque Guajará
PA,Pará,Belém,Parque Guajará (Icoaraci)
PA,Pará,Belém,Parque Guajará (Icoaraci)
PA,Pará,Belém,Pass São Jorge
PA,Pará,Belém,Pato Macho
PA,Pará,Belém,Paz
PA,Pará,Belém,Pedreira
PA,Pará,Belém,Pedreiras
PA,Pará,Belém,Ponta D' agulha
PA,Pará,Belém,Ponta Grossa
PA,Pará,Belém,Ponta Grossa (Icoaraci)
PA,Pará,Belém,Ponta Grossa Icoaraci
PA,Pará,Belém,Pq Guajará Icoaraci
PA,Pará,Belém,Pq Imperial
PA,Pará,Belém,Pq Palmeiras
PA,Pará,Belém,Pq Verde
PA,Pará,Belém,Praia do Bispo
